,No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest
2246,6310,15,D,Quercus alba,0.086,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,16.02,1.0,4.1,18.7,23.11,19,66.5,1.0,X
2247,5141,12,D,Prunus serotina,0.032,Low,2017,Sterile,G,Sterile,Sterilized,AMF,Sterile,6/5/18,10.98,1.0,0.0,5.0,8.22,13,45.5,1.0,X
2248,5149,12,B,Acer saccharum,0.06,Low,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.4,1.0,-0.04,10.96,10.99,13,45.5,1.0,X
2249,5251,13,C,Acer saccharum,0.087,Med,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.8,1.0,0.48,14.09,12.53,13,45.5,1.0,X
2250,6323,15,B,Quercus rubra,0.11,Med,2016,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.84,0.0,3.81,21.2,18.01,33,115.5,0.0,X
2251,5286,13,C,Acer saccharum,0.087,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.72,1.0,-0.08,13.88,12.21,13,45.5,1.0,X
2252,5322,13,A,Acer saccharum,0.052,Low,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.73,1.0,-0.32,9.59,9.41,13,45.5,1.0,X
2253,6331,15,D,Prunus serotina,0.086,Med,2017,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,10.0,1.0,0.05,7.33,11.55,17,59.5,1.0,X
2254,6332,15,D,Quercus alba,0.086,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,22.6,0.0,5.09,19.03,22.53,33,115.5,0.0,X
2255,5334,13,A,Acer saccharum,0.052,Low,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,12.29,1.0,-0.34,9.34,9.91,13,45.5,1.0,X
2256,5358,13,C,Acer saccharum,0.087,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.08,1.0,0.0,13.87,12.17,13,45.5,1.0,X
2257,5367,13,A,Acer saccharum,0.052,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,12.29,1.0,-0.34,9.34,9.91,13,45.5,1.0,X
